City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kasane,BW,70.81,overcast clouds,-17.8167,25.15,The Old House
1,Severo-Kurilsk,RU,25.29,broken clouds,50.6789,156.125,Kak Doma
3,Saint George,US,50.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
4,San Quintin,MX,59.92,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
5,Gazanjyk,TM,80.46,clear sky,39.2446,55.5154,Railway motel
6,Yichang,CN,60.58,overcast clouds,30.7144,111.2847,Gezhouba Hotel
7,Busselton,AU,57.02,clear sky,-33.65,115.3333,Observatory Guest House
9,Berlevag,NO,30.15,broken clouds,70.8578,29.0864,Kvitbrakka
10,Khargone,IN,93.52,broken clouds,21.8167,75.6,SPOT ON 63187 Vallabha Hotel
11,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
12,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Hit,IQ,70.65,clear sky,33.6416,42.8251,بيت ابو رباح
14,Pochutla,MX,91.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
15,Barrow,US,1.42,overcast clouds,71.2906,-156.7887,King Eider Inn
16,Port Alfred,ZA,68.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
17,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
18,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
19,Chuy,UY,73.81,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
20,Bluff,NZ,49.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
21,Mataura,NZ,49.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
22,Ushuaia,AR,46.02,drizzle,-54.8,-68.3,Albatross Hotel
24,Cidreira,BR,74.66,overcast clouds,-30.1811,-50.2056,Hotel Castelo
25,Visby,SE,46.62,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
26,Victoria,HK,79.18,clear sky,22.2855,114.1577,Mini Hotel Central
27,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
28,Rikitea,PF,79.25,scattered clouds,-23.1203,-134.9692,People ThankYou
29,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Nikolskoye,RU,40.91,overcast clouds,59.7035,30.7861,Tourist House - Sablino
32,Lanzhou,CN,49.8,scattered clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
33,Salinopolis,BR,76.53,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
34,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
35,Yulara,AU,85.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
36,Ribeira Grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
37,Bengkulu,ID,76.75,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Salamiyah,SY,51.93,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
39,Council Bluffs,US,60.03,mist,41.2619,-95.8608,"Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area, an IHG Hotel"
40,Hobart,AU,53.06,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
43,Shira,RU,30.22,light snow,54.4911,89.9531,Domchik
44,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
45,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Tuatapere,NZ,47.57,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
47,Butaritari,KI,80.4,light rain,3.0707,172.7902,Isles Sunset Lodge
48,Atuona,PF,78.96,scattered clouds,-9.8,-139.0333,Villa Enata
49,Malakal,SS,93.43,scattered clouds,9.5334,31.6605,Nile Palace Hotel
50,Hilo,US,75.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
52,La Rioja,ES,56.98,overcast clouds,42.25,-2.5,Casa Concejos
54,Yellowknife,CA,3.42,few clouds,62.456,-114.3525,The Explorer Hotel
55,Tuktoyaktuk,CA,5.0,few clouds,69.4541,-133.0374,End of The Road Ltd.
56,Lebu,CL,56.53,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
57,Gurupi,BR,92.73,few clouds,-11.7292,-49.0686,Via Norte Hotel
58,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
59,Mar Del Plata,AR,68.02,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
60,Topola,RS,61.88,clear sky,44.2542,20.6825,Хотел „Опленац“ ДОО
61,Nueva Loja,EC,84.22,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
62,Kapaa,US,74.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Hermanus,ZA,65.35,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
64,Champerico,GT,93.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
65,Shimoda,JP,64.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
67,Qaanaaq,GL,2.03,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
