City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-04-04 17:32:42,-21.2,-175.2,71.76,94,100,6.91
1,Tazovskiy,RU,2022-04-04 17:32:43,67.4667,78.7,25.99,95,100,23.76
2,Dikson,RU,2022-04-04 17:32:43,73.5069,80.5464,-4.05,97,14,7.58
3,Ponta Do Sol,PT,2022-04-04 17:32:44,32.6667,-17.1,62.71,54,43,11.77
4,Ushuaia,AR,2022-04-04 17:29:29,-54.8,-68.3,44.22,81,75,28.77
5,Hithadhoo,MV,2022-04-04 17:32:44,-0.6,73.0833,83.73,67,48,3.58
6,Concepcion Del Oro,MX,2022-04-04 17:32:44,24.6333,-101.4167,77.2,8,8,16.64
7,Sicamous,CA,2022-04-04 17:28:15,50.8331,-118.9856,56.37,97,100,3.2
8,Bombay,IN,2022-04-04 17:31:57,19.0144,72.8479,84.18,79,40,5.75
9,Windhoek,NA,2022-04-04 17:29:13,-22.5594,17.0832,71.8,33,0,8.05
10,Cam Ranh,VN,2022-04-04 17:32:45,11.9214,109.1591,73.36,88,75,9.22
11,Thompson,CA,2022-04-04 17:32:46,55.7435,-97.8558,37.56,52,20,8.05
12,Meulaboh,ID,2022-04-04 17:32:46,4.1363,96.1285,76.86,87,100,3.02
13,Tuktoyaktuk,CA,2022-04-04 17:32:47,69.4541,-133.0374,-16.6,69,75,9.22
14,Rikitea,PF,2022-04-04 17:32:47,-23.1203,-134.9692,77.74,64,12,12.08
15,Ambilobe,MG,2022-04-04 17:32:48,-13.2,49.05,75.11,94,90,2.59
16,Busselton,AU,2022-04-04 17:32:48,-33.65,115.3333,53.44,79,0,9.78
17,Neustrelitz,DE,2022-04-04 17:32:49,53.3667,13.0833,38.79,93,100,22.68
18,Olafsvik,IS,2022-04-04 17:32:49,64.8945,-23.7142,31.23,71,68,27.0
19,Cockburn Town,TC,2022-04-04 17:32:49,21.4612,-71.1419,78.64,76,13,14.72
20,Plettenberg Bay,ZA,2022-04-04 17:32:50,-34.0527,23.3716,61.72,88,12,7.74
21,Albany,US,2022-04-04 17:31:47,42.6001,-73.9662,50.68,51,81,1.99
22,Townsville,AU,2022-04-04 17:32:50,-19.25,146.8,77.88,89,40,6.91
23,Punta Arenas,CL,2022-04-04 17:32:21,-53.15,-70.9167,42.91,70,40,34.52
24,Gizo,SB,2022-04-04 17:32:51,-8.103,156.8419,81.39,83,97,12.12
25,Northam,GB,2022-04-04 17:32:51,51.0333,-4.2167,54.39,96,100,14.65
26,Cherskiy,RU,2022-04-04 17:32:52,68.75,161.3,-23.67,99,67,2.15
27,Cranbrook,CA,2022-04-04 17:29:09,49.4999,-115.7688,39.04,93,75,14.97
28,Sabha,LY,2022-04-04 17:32:52,27.0377,14.4283,89.2,5,0,8.21
29,Vila Do Maio,CV,2022-04-04 17:32:52,15.1333,-23.2167,77.79,72,35,15.23
30,Morro Bay,US,2022-04-04 17:32:53,35.3658,-120.8499,69.24,60,3,8.01
31,Mataura,NZ,2022-04-04 17:32:53,-46.1927,168.8643,51.53,88,100,4.09
32,Victoria,HK,2022-04-04 17:28:32,22.2855,114.1577,68.38,73,4,15.99
33,Puerto Ayora,EC,2022-04-04 17:32:54,-0.7393,-90.3518,87.76,88,78,5.99
34,Butaritari,KI,2022-04-04 17:32:54,3.0707,172.7902,81.45,79,85,14.34
35,Hermanus,ZA,2022-04-04 17:32:54,-34.4187,19.2345,62.8,81,5,11.9
36,Arraial Do Cabo,BR,2022-04-04 17:32:55,-22.9661,-42.0278,87.76,74,0,14.97
37,Provideniya,RU,2022-04-04 17:32:55,64.3833,-173.3,-3.68,82,4,9.69
38,Yarada,IN,2022-04-04 17:32:56,17.65,83.2667,84.52,79,40,6.91
39,Alice Springs,AU,2022-04-04 17:32:56,-23.7,133.8833,69.22,32,0,0.0
40,Carnarvon,AU,2022-04-04 17:32:57,-24.8667,113.6333,75.27,83,0,12.66
41,Ilulissat,GL,2022-04-04 17:32:57,69.2167,-51.1,39.22,41,40,11.5
42,Byron Bay,AU,2022-04-04 17:32:58,-28.65,153.6167,66.09,89,30,3.56
43,Palmas,BR,2022-04-04 17:28:55,-10.2128,-48.3603,87.67,66,75,6.91
44,Sao Joao Da Barra,BR,2022-04-04 17:32:58,-21.6403,-41.0511,86.09,72,8,10.11
45,Adoni,IN,2022-04-04 17:32:58,15.6333,77.2833,87.19,36,57,16.06
46,College,US,2022-04-04 17:30:29,64.8569,-147.8028,9.28,75,75,3.44
47,Qingdao,CN,2022-04-04 17:33:59,36.0986,120.3719,47.8,81,0,11.18
48,Ribeira Grande,PT,2022-04-04 17:32:25,38.5167,-28.7,64.8,68,40,6.91
49,Mount Isa,AU,2022-04-04 17:33:59,-20.7333,139.5,71.37,20,5,1.14
50,Talnakh,RU,2022-04-04 17:34:00,69.4865,88.3972,-1.91,91,29,8.01
51,Barrow,US,2022-04-04 17:34:00,71.2906,-156.7887,-5.78,77,100,13.8
52,Sitka,US,2022-04-04 17:34:01,57.0531,-135.33,39.09,81,20,3.44
53,Cidreira,BR,2022-04-04 17:34:01,-30.1811,-50.2056,71.47,84,99,8.97
54,Weligama,LK,2022-04-04 17:34:01,5.9667,80.4167,78.19,83,76,0.98
55,Kapaa,US,2022-04-04 17:34:02,22.0752,-159.319,73.47,76,40,17.27
56,Ketchikan,US,2022-04-04 17:33:11,55.3422,-131.6461,40.98,70,0,10.36
57,El Alto,PE,2022-04-04 17:34:02,-4.2714,-81.2147,83.86,69,59,6.89
58,Ateli,IN,2022-04-04 17:29:50,28.1,76.2833,80.78,6,25,5.3
59,Doha,QA,2022-04-04 17:32:23,25.2867,51.5333,80.91,56,0,9.22
60,Gamba,GA,2022-04-04 17:34:03,-2.65,10.0,78.13,85,95,5.06
61,Port Elizabeth,ZA,2022-04-04 17:29:55,-33.918,25.5701,65.1,87,0,12.66
62,Lazaro Cardenas,MX,2022-04-04 17:34:04,17.9583,-102.2,81.45,53,15,8.99
63,Qaanaaq,GL,2022-04-04 17:34:04,77.484,-69.3632,21.49,74,98,7.56
64,Vardo,NO,2022-04-04 17:34:04,70.3705,31.1107,28.38,54,75,16.11
65,Bluff,NZ,2022-04-04 17:34:05,-46.6,168.3333,54.09,83,100,8.03
66,Mahibadhoo,MV,2022-04-04 17:34:05,3.7833,72.9667,83.98,62,66,2.17
67,Sidi Ali,DZ,2022-04-04 17:34:06,36.0998,0.4206,55.51,80,99,18.63
68,Pitimbu,BR,2022-04-04 17:34:06,-7.4706,-34.8086,86.59,61,41,11.79
69,Roald,NO,2022-04-04 17:34:08,62.5833,6.1333,36.34,60,40,11.5
70,Kodiak,US,2022-04-04 17:34:08,57.79,-152.4072,35.11,55,0,10.36
71,Pailon,BO,2022-04-04 17:34:09,-17.65,-62.75,86.9,43,10,6.98
72,Samana,DO,2022-04-04 17:34:09,19.2056,-69.3369,86.22,70,40,9.22
73,Honningsvag,NO,2022-04-04 17:34:10,70.9821,25.9704,26.35,63,40,10.36
74,Severo-Kurilsk,RU,2022-04-04 17:34:10,50.6789,156.125,33.03,81,7,6.76
75,Hilo,US,2022-04-04 17:34:10,19.7297,-155.09,70.25,87,75,7.0
76,Natal,BR,2022-04-04 17:30:59,-5.795,-35.2094,88.02,55,20,18.41
77,Katsuura,JP,2022-04-04 17:34:11,35.1333,140.3,49.1,91,100,24.63
78,Acarau,BR,2022-04-04 17:34:11,-2.8856,-40.12,83.89,74,95,13.6
79,Hay River,CA,2022-04-04 17:30:29,60.8156,-115.7999,37.38,56,75,12.66
80,Saint Anthony,US,2022-04-04 17:34:12,45.0205,-93.218,40.1,83,100,8.05
81,Bilibino,RU,2022-04-04 17:34:12,68.0546,166.4372,-21.05,90,28,5.12
82,Saint George,US,2022-04-04 17:33:48,37.1041,-113.5841,69.64,32,0,3.0
83,Necochea,AR,2022-04-04 17:32:39,-38.5473,-58.7368,65.66,39,1,12.12
84,Anadyr,RU,2022-04-04 17:34:13,64.75,177.4833,-12.5,77,0,13.42
85,Bambous Virieux,MU,2022-04-04 17:34:13,-20.3428,57.7575,79.05,83,100,11.5
86,Akdepe,TM,2022-04-04 17:34:14,42.0551,59.3788,75.29,16,40,12.39
87,Iqaluit,CA,2022-04-04 17:29:52,63.7506,-68.5145,11.93,72,75,20.71
88,Guerrero Negro,MX,2022-04-04 17:34:14,27.9769,-114.0611,65.39,57,73,16.35
89,Haines Junction,CA,2022-04-04 17:34:14,60.7522,-137.5108,31.95,55,100,4.61
90,Waitara,NZ,2022-04-04 17:34:15,-38.925,174.25,62.22,87,79,9.04
91,Ahipara,NZ,2022-04-04 17:34:15,-35.1667,173.1667,63.25,92,99,5.61
92,Benjamin Constant,BR,2022-04-04 17:35:16,-4.3831,-70.0311,84.33,65,40,5.75
93,Ancud,CL,2022-04-04 17:32:43,-41.8697,-73.8203,55.22,82,100,9.64
94,Klaksvik,FO,2022-04-04 17:35:16,62.2266,-6.589,34.72,65,100,18.9
95,Sirjan,IR,2022-04-04 17:35:17,29.452,55.6814,68.49,13,21,6.89
96,Coro,VE,2022-04-04 17:35:17,11.4045,-69.6734,85.78,65,93,23.49
97,Belaya Gora,RU,2022-04-04 17:35:17,68.5333,146.4167,-17.9,100,99,2.44
98,Waipawa,NZ,2022-04-04 17:35:18,-41.4122,175.5153,54.09,90,31,7.96
99,Sangar,RU,2022-04-04 17:35:18,63.9242,127.4739,-4.0,99,100,4.54
100,Hobyo,SO,2022-04-04 17:35:19,5.3505,48.5268,82.0,69,81,10.51
101,Rongcheng,CN,2022-04-04 17:35:19,30.634,117.8517,58.71,70,100,2.48
102,Port Alfred,ZA,2022-04-04 17:35:19,-33.5906,26.891,64.18,81,1,3.0
103,Saskylakh,RU,2022-04-04 17:35:20,71.9167,114.0833,-6.83,98,100,5.82
104,Vostok,RU,2022-04-04 17:35:20,46.4856,135.8833,30.49,87,65,6.04
105,Danielskuil,ZA,2022-04-04 17:34:15,-28.1887,23.5395,59.67,35,0,10.33
106,Saint-Philippe,RE,2022-04-04 17:35:20,-21.3585,55.7679,76.59,86,99,14.61
107,Tahta,EG,2022-04-04 17:35:21,26.7693,31.5021,88.11,7,4,9.22
108,Goderich,CA,2022-04-04 17:35:21,43.7501,-81.7165,38.91,70,100,8.05
109,Taoudenni,ML,2022-04-04 17:35:22,22.6783,-3.9836,96.1,10,0,12.68
110,Airai,TL,2022-04-04 17:35:22,-8.9266,125.4092,57.94,91,14,0.94
111,Trincomalee,LK,2022-04-04 17:35:23,8.5711,81.2335,81.43,76,18,7.14
112,Nerchinskiy Zavod,RU,2022-04-04 17:35:23,51.3088,119.61,17.01,49,71,8.7
113,Geraldton,AU,2022-04-04 17:35:23,-28.7667,114.6,64.81,94,3,8.05
114,Sechura,PE,2022-04-04 17:35:24,-5.5569,-80.8222,81.14,58,90,8.5
115,Banjar,ID,2022-04-04 17:35:24,-8.19,114.9675,75.4,90,19,4.92
116,Gravdal,NO,2022-04-04 17:35:25,68.1214,13.5031,29.62,51,73,14.67
117,Pouembout,NC,2022-04-04 17:35:25,-21.1333,164.9,76.87,88,100,5.61
118,Trairi,BR,2022-04-04 17:35:26,-3.2778,-39.2689,82.67,80,100,11.01
119,Eureka,US,2022-04-04 17:31:23,40.8021,-124.1637,52.41,94,100,5.99
120,Gainesville,US,2022-04-04 17:31:55,29.6516,-82.3248,83.01,48,0,4.61
121,Umm Kaddadah,SD,2022-04-04 17:35:26,13.6017,26.6876,89.31,9,34,8.57
122,Pemangkat,ID,2022-04-04 17:35:27,1.1667,108.9667,80.24,78,100,2.42
123,Wajima,JP,2022-04-04 17:35:28,37.4,136.9,47.91,85,34,4.54
124,Avarua,CK,2022-04-04 17:35:28,-21.2078,-159.775,71.65,100,99,1.14
125,Muros,ES,2022-04-04 17:35:28,42.7762,-9.0603,57.69,48,4,17.6
126,Jamestown,US,2022-04-04 17:32:53,42.097,-79.2353,44.53,53,0,3.44
127,Cap Malheureux,MU,2022-04-04 17:35:29,-19.9842,57.6142,78.48,85,100,5.99
128,Hobart,AU,2022-04-04 17:35:29,-42.8794,147.3294,57.06,83,100,16.11
129,Sindor,RU,2022-04-04 17:35:30,62.8629,51.8905,15.48,95,100,2.39
130,Bredasdorp,ZA,2022-04-04 17:34:15,-34.5322,20.0403,64.33,73,3,11.68
131,New Norfolk,AU,2022-04-04 17:35:30,-42.7826,147.0587,56.71,74,97,2.04
132,Ust-Nera,RU,2022-04-04 17:35:31,64.5667,143.2,-13.04,100,87,5.64
133,Poronaysk,RU,2022-04-04 17:35:31,49.2167,143.1167,32.56,92,49,5.77
134,Fairbanks,US,2022-04-04 17:35:14,64.8378,-147.7164,10.49,75,100,3.44
135,Horta,PT,2022-04-04 17:35:31,38.5333,-28.6333,64.04,68,40,6.91
136,Saint-Francois,FR,2022-04-04 17:35:32,46.4154,3.9054,47.68,40,0,8.05
