City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kasane,BW,-17.8167,25.15,70.81,69,96,4.5,overcast clouds
1,Severo-Kurilsk,RU,50.6789,156.125,25.29,85,51,5.06,broken clouds
2,Pevek,RU,69.7008,170.3133,-14.93,89,98,3.13,overcast clouds
3,Saint George,US,37.1041,-113.5841,50.63,15,0,21.85,clear sky
4,San Quintin,MX,30.4833,-115.95,59.92,54,47,18.41,scattered clouds
5,Gazanjyk,TM,39.2446,55.5154,80.46,23,3,12.84,clear sky
6,Yichang,CN,30.7144,111.2847,60.58,94,100,1.63,overcast clouds
7,Busselton,AU,-33.65,115.3333,57.02,88,0,9.91,clear sky
8,Ostrovnoy,RU,68.0531,39.5131,30.56,86,20,17.09,few clouds
9,Berlevag,NO,70.8578,29.0864,30.15,74,75,16.11,broken clouds
10,Khargone,IN,21.8167,75.6,93.52,16,70,7.65,broken clouds
11,Vaini,TO,-21.2,-175.2,75.36,94,20,5.75,few clouds
12,Mahebourg,MU,-20.4081,57.7,77.29,88,75,17.27,broken clouds
13,Hit,IQ,33.6416,42.8251,70.65,20,0,8.55,clear sky
14,Pochutla,MX,15.7432,-96.4661,91.81,41,98,8.5,overcast clouds
15,Barrow,US,71.2906,-156.7887,1.42,66,100,8.05,overcast clouds
16,Port Alfred,ZA,-33.5906,26.891,68.18,87,100,1.01,overcast clouds
17,Vila Velha,BR,-20.3297,-40.2925,87.75,74,20,11.5,few clouds
18,Kahului,US,20.8947,-156.47,77.85,79,20,11.01,few clouds
19,Chuy,UY,-33.6971,-53.4616,73.81,36,47,9.24,scattered clouds
20,Bluff,NZ,-46.6,168.3333,49.8,58,89,15.17,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,49.48,96,49,2.35,scattered clouds
22,Ushuaia,AR,-54.8,-68.3,46.02,87,75,24.16,drizzle
23,Solenzo,BF,12.1833,-4.0833,103.37,15,94,4.59,overcast clouds
24,Cidreira,BR,-30.1811,-50.2056,74.66,81,89,4.45,overcast clouds
25,Visby,SE,57.6409,18.296,46.62,36,0,2.3,clear sky
26,Victoria,HK,22.2855,114.1577,79.18,88,5,1.01,clear sky
27,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,75,17.27,light rain
28,Rikitea,PF,-23.1203,-134.9692,79.25,69,38,17.4,scattered clouds
29,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,72,17.67,light rain
30,Saskylakh,RU,71.9167,114.0833,-12.96,100,93,2.75,overcast clouds
31,Nikolskoye,RU,59.7035,30.7861,40.91,93,100,2.44,overcast clouds
32,Lanzhou,CN,36.0564,103.7922,49.8,26,35,5.32,scattered clouds
33,Salinopolis,BR,-0.6136,-47.3561,76.53,93,98,9.71,moderate rain
34,Saint-Joseph,RE,-21.3667,55.6167,75.58,83,40,17.34,light rain
35,Yulara,AU,-25.2406,130.9889,85.84,23,92,12.66,overcast clouds
36,Ribeira Grande,PT,38.5167,-28.7,64.8,77,20,12.66,few clouds
37,Bengkulu,ID,-3.8004,102.2655,76.75,88,99,2.93,overcast clouds
38,Salamiyah,SY,35.0113,37.0532,51.93,78,4,20.36,clear sky
39,Council Bluffs,US,41.2619,-95.8608,60.03,95,100,23.02,mist
40,Hobart,AU,-42.8794,147.3294,53.06,79,12,6.91,few clouds
41,Kidal,ML,18.4411,1.4078,103.14,5,23,12.3,few clouds
42,Svetlaya,RU,46.5389,138.3297,32.0,94,92,7.38,overcast clouds
43,Shira,RU,54.4911,89.9531,30.22,93,100,3.31,light snow
44,Aswan,EG,24.0934,32.907,88.9,9,0,11.5,clear sky
45,Puerto Ayora,EC,-0.7393,-90.3518,84.16,91,66,5.01,broken clouds
46,Tuatapere,NZ,-46.1333,167.6833,47.57,83,53,5.39,broken clouds
47,Butaritari,KI,3.0707,172.7902,80.4,79,58,12.5,light rain
48,Atuona,PF,-9.8,-139.0333,78.96,74,31,16.33,scattered clouds
49,Malakal,SS,9.5334,31.6605,93.43,30,44,3.0,scattered clouds
50,Hilo,US,19.7297,-155.09,75.27,92,100,5.75,overcast clouds
51,Puerto Escondido,MX,15.85,-97.0667,85.03,70,75,9.22,broken clouds
52,La Rioja,ES,42.25,-2.5,56.98,55,93,2.75,overcast clouds
53,Bilibino,RU,68.0546,166.4372,-4.92,82,100,3.98,overcast clouds
54,Yellowknife,CA,62.456,-114.3525,3.42,67,20,11.5,few clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,66,20,12.66,few clouds
56,Lebu,CL,-37.6167,-73.65,56.53,64,45,17.02,scattered clouds
57,Gurupi,BR,-11.7292,-49.0686,92.73,46,20,1.12,few clouds
58,Pisco,PE,-13.7,-76.2167,71.65,64,0,19.57,clear sky
59,Mar Del Plata,AR,-38.0023,-57.5575,68.02,52,20,16.11,few clouds
60,Topola,RS,44.2542,20.6825,61.88,66,2,4.88,clear sky
61,Nueva Loja,EC,0.0847,-76.8828,84.22,70,75,2.3,broken clouds
62,Kapaa,US,22.0752,-159.319,74.19,95,0,11.5,clear sky
63,Hermanus,ZA,-34.4187,19.2345,65.35,82,43,0.29,scattered clouds
64,Champerico,GT,14.3,-91.9167,93.74,54,93,8.5,overcast clouds
65,Shimoda,JP,34.6667,138.95,64.11,95,2,8.63,clear sky
66,Adrar,MR,20.5022,-10.0711,96.48,7,98,9.98,overcast clouds
67,Qaanaaq,GL,77.484,-69.3632,2.03,81,98,3.4,overcast clouds
68,East London,ZA,-33.0153,27.9116,67.14,94,40,3.44,light rain
69,Kholtoson,RU,50.2981,103.3097,18.68,95,100,4.79,light snow
70,Hithadhoo,MV,-0.6,73.0833,84.11,68,10,11.14,clear sky
71,Saint-Pierre,RE,-21.3393,55.4781,77.92,82,20,20.71,few clouds
72,Haines Junction,CA,60.7522,-137.5108,13.95,52,7,2.3,clear sky
73,Eureka,US,40.8021,-124.1637,47.19,69,74,1.99,broken clouds
74,Moura,PT,38.1401,-7.4486,64.51,55,54,13.22,broken clouds
75,Dubinino,RU,55.6192,89.0911,31.89,98,100,3.69,light snow
76,Mazatlan,MX,23.2167,-106.4167,80.56,75,20,4.0,few clouds
77,Rumoi,JP,43.9344,141.6428,41.99,98,100,5.77,light rain
78,Gambela,ET,8.25,34.5833,75.24,82,94,7.31,light rain
79,Tura,IN,25.5198,90.2201,73.9,83,82,3.18,broken clouds
80,Longyearbyen,SJ,78.2186,15.6401,15.64,79,75,3.44,light snow
81,Touros,BR,-5.1989,-35.4608,85.78,60,100,13.29,overcast clouds
82,Castro,BR,-24.7911,-50.0119,72.93,80,95,8.52,moderate rain
83,Bambanglipuro,ID,-7.95,110.2833,76.78,85,66,3.98,broken clouds
84,Acajutla,SV,13.5928,-89.8275,87.37,59,100,10.0,overcast clouds
85,Port Elizabeth,ZA,-33.918,25.5701,67.32,90,0,14.97,clear sky
86,Gamba,GA,-2.65,10.0,80.06,81,89,7.56,overcast clouds
87,Wattegama,LK,6.7989,81.4808,75.51,93,100,3.58,overcast clouds
88,San Cristobal,VE,7.7669,-72.225,80.78,54,89,7.43,overcast clouds
89,Jamestown,US,42.097,-79.2353,60.06,50,0,4.0,clear sky
90,Husavik,IS,66.0449,-17.3389,36.5,72,54,14.9,broken clouds
91,Maxixe,MZ,-23.8597,35.3472,80.42,83,20,4.61,few clouds
92,Aquiraz,BR,-3.9014,-38.3911,87.89,69,95,8.25,overcast clouds
93,Dunedin,NZ,-45.8742,170.5036,52.81,69,24,7.0,few clouds
94,Shenjiamen,CN,29.9576,122.298,61.02,99,100,11.34,overcast clouds
95,Arauca,CO,7.0847,-70.7591,93.2,49,20,9.22,few clouds
96,Itoman,JP,26.1247,127.6694,73.42,92,75,11.5,broken clouds
97,Lagunas,PE,-5.2269,-75.6753,83.53,81,73,3.74,broken clouds
98,Georgetown,MY,5.4112,100.3354,82.33,92,40,2.3,scattered clouds
99,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,84,98,9.93,overcast clouds
100,Kesan,TR,40.8558,26.6303,46.85,69,58,5.82,broken clouds
101,Thompson,CA,55.7435,-97.8558,28.56,74,75,11.5,broken clouds
102,Kaitangata,NZ,-46.2817,169.8464,46.0,86,46,5.14,scattered clouds
103,Gorom-Gorom,BF,14.4439,-0.2361,105.8,10,60,6.96,broken clouds
104,Port Hardy,CA,50.6996,-127.4199,42.98,75,75,6.91,broken clouds
105,Bredasdorp,ZA,-34.5322,20.0403,69.03,69,24,3.96,few clouds
106,Maceio,BR,-9.6658,-35.7353,87.24,54,40,9.22,scattered clouds
107,Ahuimanu,US,21.4447,-157.8378,75.2,82,40,8.05,scattered clouds
108,Rumford,US,44.5537,-70.5509,59.83,72,100,8.66,overcast clouds
109,Apatou,GF,5.155,-54.3472,83.62,76,80,5.03,broken clouds
110,Cape Town,ZA,-33.9258,18.4232,69.28,80,0,9.22,clear sky
111,Albany,US,42.6001,-73.9662,63.57,56,65,1.99,broken clouds
112,Salalah,OM,17.0151,54.0924,82.49,89,20,5.75,few clouds
113,Kurilsk,RU,45.2333,147.8833,35.2,98,100,6.38,snow
114,Kruisfontein,ZA,-34.0033,24.7314,67.37,76,12,7.92,few clouds
115,Faanui,PF,-16.4833,-151.75,81.68,73,8,15.39,clear sky
116,Taltal,CL,-25.4,-70.4833,66.34,65,0,8.32,clear sky
117,Pangnirtung,CA,66.1451,-65.7125,12.2,79,75,4.61,broken clouds
118,San Policarpo,PH,12.1791,125.5072,77.14,91,100,10.89,overcast clouds
119,Roald,NO,62.5833,6.1333,45.09,65,0,6.91,clear sky
120,Natalinsk,RU,56.4739,57.8698,38.98,87,91,11.23,overcast clouds
121,Punta Arenas,CL,-53.15,-70.9167,51.91,62,40,46.04,scattered clouds
122,Bethel,US,41.3712,-73.414,65.03,67,0,8.05,clear sky
123,Tucuman,AR,-26.8241,-65.2226,68.0,100,75,6.91,light intensity drizzle
124,Muli,MV,2.9167,73.5667,85.17,73,35,11.34,scattered clouds
125,Mago,RU,53.2514,140.1822,24.28,87,100,5.26,overcast clouds
126,Luba,GQ,3.4568,8.5547,82.38,81,81,10.65,broken clouds
127,Talnakh,RU,69.4865,88.3972,29.21,95,100,17.25,snow
128,Sioux Lookout,CA,50.1001,-91.917,35.67,51,75,3.44,broken clouds
129,Yumen,CN,40.2833,97.2,43.38,12,84,15.7,broken clouds
130,Panaba,MX,21.2833,-88.2667,93.4,38,72,14.9,broken clouds
131,Teeli,RU,51.0333,90.2333,38.03,49,54,3.69,broken clouds
132,Kawalu,ID,-7.3817,108.2082,72.48,96,53,0.74,broken clouds
133,Kampene,CD,-3.6,26.6667,73.8,86,100,0.83,overcast clouds
134,Robertsport,LR,6.7533,-11.3686,82.45,75,100,8.55,overcast clouds
135,Egvekinot,RU,66.3167,-179.1667,-3.21,88,100,12.5,overcast clouds
136,Provideniya,RU,64.3833,-173.3,19.89,92,100,16.71,light snow
137,Ancud,CL,-41.8697,-73.8203,53.22,62,38,4.65,scattered clouds
138,Tual,ID,-5.6667,132.75,83.17,76,100,9.01,light rain
139,Oktyabrskoye,RU,43.0645,44.7417,46.54,87,100,6.71,overcast clouds
140,Cap Malheureux,MU,-19.9842,57.6142,77.47,85,2,7.0,clear sky
141,Teguise,ES,29.0605,-13.564,68.22,53,40,17.27,scattered clouds
142,Sabha,LY,27.0377,14.4283,85.8,11,100,16.8,overcast clouds
143,Chokurdakh,RU,70.6333,147.9167,-2.94,97,100,4.61,overcast clouds
144,Goure,NE,13.9835,10.2704,102.02,13,40,9.71,scattered clouds
145,Hof,DE,50.3167,11.9167,60.03,36,0,8.05,clear sky
146,Bay Roberts,CA,47.5999,-53.2648,41.05,70,100,14.0,overcast clouds
147,Road Town,VG,18.4167,-64.6167,84.24,61,40,11.5,scattered clouds
148,Kailua,US,21.4022,-157.7394,75.49,83,14,5.99,few clouds
149,Batagay,RU,67.6333,134.6333,5.41,97,100,4.18,overcast clouds
150,Bondoukou,CI,8.0333,-2.8,96.22,32,57,0.76,broken clouds
151,Lhokseumawe,ID,5.1801,97.1507,80.98,82,100,4.45,overcast clouds
152,Lompoc,US,34.6391,-120.4579,62.02,43,0,16.11,clear sky
153,Mount Darwin,ZW,-16.7725,31.5838,70.47,76,76,2.35,broken clouds
154,Margate,GB,51.3813,1.3862,59.88,72,89,1.01,overcast clouds
155,Marsh Harbour,BS,26.5412,-77.0636,74.52,60,0,17.9,clear sky
156,Asau,RO,46.4333,26.4,45.52,57,94,3.02,overcast clouds
157,Westport,US,41.1415,-73.3579,66.15,57,0,6.91,clear sky
158,Puerto Colombia,CO,10.9878,-74.9547,89.69,72,91,18.43,overcast clouds
159,Faya,SA,18.3851,42.4509,69.91,40,3,5.95,clear sky
160,Prabumulih,ID,-3.45,104.25,73.42,99,60,2.86,moderate rain
161,Cherskiy,RU,68.75,161.3,-16.49,94,64,1.79,broken clouds
162,Turangi,NZ,-39.0,175.9333,55.45,73,100,5.99,light rain
163,Ormara,PK,25.2088,64.6357,80.19,79,0,12.24,clear sky
164,Amga,RU,60.8953,131.9608,1.99,100,78,0.92,broken clouds
165,New Norfolk,AU,-42.7826,147.0587,52.72,65,39,3.0,scattered clouds
166,Issenye,TZ,-2.0,34.3333,71.4,67,100,6.46,overcast clouds
167,Cranbrook,CA,49.4999,-115.7688,26.44,28,100,3.44,overcast clouds
168,Aklavik,CA,68.2191,-135.0107,10.4,56,20,8.05,few clouds
169,San Jeronimo,PE,-11.9472,-75.2829,61.72,48,60,0.92,broken clouds
170,Batticaloa,LK,7.7102,81.6924,81.34,82,100,5.91,overcast clouds
171,Portland,US,45.5234,-122.6762,43.2,87,100,11.5,overcast clouds
172,Geraldton,AU,-28.7667,114.6,59.41,94,0,9.22,clear sky
173,San Patricio,US,28.017,-97.5169,84.18,77,77,21.77,broken clouds
174,Alice Springs,AU,-23.7,133.8833,74.75,35,44,5.75,scattered clouds
175,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,94.12,34,3,11.27,clear sky
176,Bubaque,GW,11.2833,-15.8333,75.04,78,100,13.69,overcast clouds
177,Dawlatabad,AF,36.4141,64.9053,71.92,31,23,4.0,few clouds
178,Lyuban,BY,52.7985,28.0048,43.45,64,98,9.37,overcast clouds
179,North Battleford,CA,52.7834,-108.2847,16.41,62,100,18.41,overcast clouds
180,Kokoda,PG,-8.8785,147.7407,73.69,95,82,0.83,broken clouds
181,Iberia,US,29.9502,-91.7507,78.06,75,100,18.86,overcast clouds
182,Tazovskiy,RU,67.4667,78.7,34.95,99,100,16.28,light snow
183,La Ronge,CA,55.1001,-105.2842,12.42,52,20,12.66,few clouds
184,Sainte-Thecle,CA,46.8168,-72.4991,57.25,56,66,13.13,broken clouds
185,Camacha,PT,33.0833,-16.3333,63.82,77,40,19.57,scattered clouds
186,Suba,PH,10.8438,121.0102,79.9,75,100,6.98,overcast clouds
187,Dikson,RU,73.5069,80.5464,28.0,95,100,8.14,overcast clouds
188,Balkanabat,TM,39.5108,54.3671,83.48,18,7,17.78,clear sky
189,Coquimbo,CL,-29.9533,-71.3436,60.53,77,40,3.44,scattered clouds
190,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,74,0,8.95,clear sky
191,Waipawa,NZ,-41.4122,175.5153,54.63,87,100,12.17,overcast clouds
192,Spring Hill,US,28.4769,-82.5255,84.06,48,0,11.5,clear sky
193,Kawhia,NZ,-38.0651,174.8183,62.51,84,100,7.02,overcast clouds
194,Victor Harbor,AU,-35.5667,138.6167,54.0,79,68,8.5,broken clouds
195,Yarada,IN,17.65,83.2667,84.52,84,20,6.91,few clouds
196,Jacqueville,CI,5.2052,-4.4146,82.81,80,100,13.76,overcast clouds
197,Aksu,CN,41.1231,80.2644,66.47,23,74,6.49,broken clouds
198,Coihaique,CL,-45.5752,-72.0662,51.75,54,75,11.5,broken clouds
199,Mayya,RU,61.7333,130.2811,13.32,99,80,0.85,broken clouds
200,Seoul,KR,37.5683,126.9778,61.99,94,100,4.61,heavy intensity rain
201,Yenagoa,NG,4.9247,6.2642,84.0,76,98,5.19,overcast clouds
